group,hanzi,romanization,ipa,audio_url,variety,notes,part_of_speech,definition_en,gloss_zh,example,example_gloss
,乜毛,mie53 nok23,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",pronoun,what,,,
,乜候,mieng53 ngau242,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,when,,,
,又又,iu53 iu242,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,still; as always,,,
,了离,liue44 lie242,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,neatly and briskly,,,
,九早,gau24 ja31,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,long ago; long since,,,
,七灶,cik5 cëü13,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,everywhere; all over the place,,,
,干乜势,gang21 me53 lie213,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,why; what for,,,
,干证,gang53 jeing213,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a witness,,,
,干豢,gang53 nguang213,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a nanny,,,
,干塞,gang53 seik23,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",verb,"to eat something dry, with nothing to drink",,,
,干燋,gan44 na44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adjective,"dried out; also, to force someone into doing something",,,
,工,gëüng44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,work; a day's work; the amount of labour a job takes,,,
,土骹,tu21 a44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a peninsula,,,
,十番,seik5 huang44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a traditional Fuzhou instrumental ensemble,,,
,七寸,cik5 caung213,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,pig's trotters,,,
,三层糕,sang44 jeing44 ngo44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a three-layered steamed cake,,,
,三人椅,sang53 nging21 ngie31,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a three-seat sofa,,,
,三花,sang44 ngua44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,"the clown role in traditional opera; by extension, a comedian",,,
,三旦,sang53 nang213,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,the third day after a birth,,,
,本,buōng,,,,Bàng-uâ-cê reading /puoŋ³³/ from Wiktionary (Min Dong). Supplied by Noah.,measure word,"measure word for books, documents and bound volumes",本,蜀本書 (suŏh buōng cṳ̄),a book
,張,ciŏng,,,,Supplied by Noah.,measure word,"measure word for flat things: paper, tables, tickets",张,蜀張紙 (suŏh ciŏng huāi),a sheet of paper
,條,diu,,,,Also given as tiu55 in a tone-number romanization; diu is the form used in the example. Supplied by Noah.,measure word,"measure word for long, flexible or narrow things",条,蜀條魚 (suŏh diu ngṳ̀),a fish
,把,bā,,,,Supplied by Noah.,measure word,"measure word for things with a handle: umbrellas, knives",把,蜀把傘 (suŏh bā huāng),an umbrella
,間,gèng,,,,Supplied by Noah.,measure word,"measure word for rooms, houses and buildings",间,蜀間厝 (suŏh gèng chuōi),a house
,架,gá,,,,Supplied by Noah.,measure word,"measure word for machinery, aircraft and vehicles",架,蜀架飛機 (suŏh gá huói-gī),an aeroplane
,隻,ciáh,/t͡siɑʔ²⁴/,,,Bàng-uâ-cê reading from Wiktionary (Min Dong).,measure word,"measure word for animals, boats and containers",只,,
,賣,mâ̤,/ma²⁴²/,,,"From the Fuzhou dialect article on Wikipedia: 汝會講福州話賣? — do you speak Fuzhounese? Shares its character with 賣 mâ, to sell, which is a different word.",particle,"question particle, placed at the end of a sentence to turn it into a yes-or-no question",吗,,
,伓,ng,/ŋ⁵³/,,,"From the Fuzhou dialect article on Wikipedia: 伓是 ng-sê — no, that is not so.",particle,"not; the ordinary negative, placed before a verb or adjective",不,,
,共,gâe̤ng,,,,From the Fuzhou dialect article on Wikipedia: 伊共伊老媽嚢冤家 — he and his wife are quarrelling.,particle,with; and — joins two people or things,和,,
,各,gáuk,,,,"Taken from three entries already in this dictionary: 我各 nguāi-gáuk, 汝各 nṳ̄-gáuk, 伊各 ĭ-gáuk.",particle,"plural suffix, added to a pronoun to make it plural",们,,
,未,mà̤,,,,Taken from an entry already in this dictionary: 食飯未 siăh buáng mà̤ — have you eaten yet?,particle,yet — placed at the end of a sentence to ask whether something has happened,未,,
,著,diŏh,/tuoʔ⁵/,,,"Bàng-uâ-cê reading from Wiktionary (Min Dong, colloquial reading).",verb,to wear; to put on clothes,穿,,
