group,hanzi,romanization,ipa,audio_url,variety,notes,part_of_speech,definition_en,gloss_zh,example,example_gloss
,八事,beik5 dai242,,,,,,"sensible; showing understanding, said of a child growing up",,,
,八传,beik21 duong53,,,,,,to get to know; to come to hear of,,,
,八音,beik21 ing44,,,,,,the eight tones,,,
,八势,beik sie213,,,,,,to read which way the wind is blowing,,,
,八势況,bei21 sie53 uong213,,,,,,to read which way the wind is blowing,,,
,八字,beik5 zei242,,,,,,able to read and write,,,
,八曾,beik21 zeing53,,,,,,once; formerly (marks a completed past action),,,
,八症,beik5 zeing213,,,,,,to know how matters stand; to know what is right,,,
,八字骹,beik21 zi44 a44,,,,,,to walk with the feet turned outwards,,,
,八字伯,beik21 zi53 wak23,,,,,,someone who parades his learning,,,
,几何牟,gi44 o44 jia44,,,,,,a pair of compasses,,,
,九早,gau24 ja31,,,,,,long ago; long since,,,
,九世,gau44 sie213,,,,,,long ago; long since,,,
,刀喙,do53 cui213,,,,,,the edge of a blade,,,
,刀囝,do53 iang31,,,,,,a small knife,,,
,刀石,do44 juok5,,,,,,a whetstone,,,
,刀枕,do53 zing31,,,,,,the blunt back of a blade,,,
,刁,diu44,,,,,,to joke and carry on noisily,,,
,刁皮,diu44 pi 53,,,,,,naughty; mischievous,,,
,力草,lik31 cau31,,,,,,bodily strength,,,
,力落,lik5 lok5,,,,,,hardworking; willing,,,
,乜毛,mie53 nok23,,,,,,what,,,
,乜毛名,mie21 nok44 miang53,,,,,,what,,,
,乜候,mieng53 ngau242,,,,,,when,,,
,又又,iu53 iu242,,,,,,still; as always,,,
,了离,liue44 lie242,,,,,,neatly and briskly,,,
,三吼四伓應,sang53 hau31 si21 ing53 ngeing213,,,,,,to pretend not to hear,,,
,三剂弯,sang21 je44 wang44,,,,,,bent; crooked,,,
,三层糕,sang44 jeing44 ngo44,,,,,,a three-layered steamed cake,,,
,三旦,sang53 nang213,,,,,,the third day after a birth,,,
,三十哺暗,sang21 neik21 buo53 ang213,,,,,,lunar New Year's Eve,,,
,三十暝哺,sang21 neik44 mang44 muo44,,,,,,lunar New Year's Eve,,,
,三个指,sang21 nga24 jai31,,,,,,"a doctor of traditional Chinese medicine, from the three fingers used to take a pulse",,,
,三下响,sang21 nga51 üong11,,,,,,an early form of Fujian opera,,,
,三眼蟙,sang21 ngang21 ciek5,,,,,,a sea crab whose shell resembles the swimming crab and whose markings suggest three eyes,,,
,三间排,sang21 ngang44 me53,,,,,,a single-storey wooden house with a central hall and a room to either side,,,
,三人椅,sang53 nging21 ngie31,,,,,,a three-seat sofa,,,
,三花,sang44 ngua44,,,,,,"the clown role in traditional opera; by extension, a comedian. Also 三花角",,,
,三花角,sang21 ngua53 üok23,,,,,,"the clown role in traditional opera; by extension, a comedian. Also 三花",,,
,三落透后,sang2 nok21 tau53 au242,,,,,,a large single-storey house built around three courtyards,,,
,三涿水,sang21 nuk24 zui31,,,,,,the water radical 氵 in its left-hand form,,,
,三不像,sang21 wuk5 cuong242,,,,,,neither one thing nor the other; not conforming to any standard. Also 四不像,,,
,干燋,gan44 na44,,,,,,"dried out; also, to force someone into doing something",,,
,干证,gang53 jeing213,,,,,,a witness,,,
,干乜势,gang21 me53 lie213,,,,,,why; what for,,,
,干燋燋,gang44 na44 la44,,,,,,dried right out,,,
,干干急,gang21 ngang53 ngeik23,,,,,,fretful; anxious,,,
,干豢,gang53 nguang213,,,,,,a nanny,,,
,干塞,gang53 seik23,,,,,,"to eat something dry, without anything to drink",,,
,工,gëüng44,,,,,,work; a day's work; the amount of labour a job takes,,,
,工钱剂,gëüng53 jieng21 ja242,,,,,,wages,,,
,工把两,gëüng21 ma44 lang242,,,,,,a day or two,,,
,土骹,tu21 a44,,,,,,a peninsula,,,
,土土色,tu21 lu44 laik23,,,,,,an earthy yellow-brown,,,
,十食,,,,,,,well worth eating,,,
三不像两,三不像两,sang44 buk21 cuong53 nang242,,,,,,a shifty character (variant of 無三不两),,,
三不像两,三不像两,sang44 wuk21 cuong53 nang242,,,,,,neither one thing nor the other,,,
十做,十做,seik21 zo213,,,,,,bound to come off; a sure thing,,,
十做,十做,,,,,,,well worth doing,,,
